iq,rotor
0.47684,2.489842
0.497366,2.493198
0.531104,2.501251
0.545972,2.509305
0.544597,2.517358
0.534742,2.526083
0.507496,2.534136
0.471157,2.545545
0.434142,2.55427
0.395776,2.560981
0.374822,2.568363
0.369155,2.581114
0.36874,2.591852
0.360015,2.600577
0.346075,2.613328
0.325522,2.622052
0.305523,2.62675
0.302928,2.641515
0.305779,2.644871
0.311493,2.652924
0.328637,2.658293
0.356997,2.667688
0.37804,2.676413
0.382964,2.691849
0.366106,2.701244
0.338109,2.71064
0.317024,2.716009
0.310366,2.726075
0.317283,2.730102
0.33692,2.740169
0.358485,2.746209
0.368697,2.751578
0.386312,2.769027
0.387853,2.779094
0.360892,2.792516
0.32031,2.80124
0.289522,2.805938
0.283146,2.813321
0.304118,2.832783
0.308449,2.839494
0.297678,2.846877
0.294332,2.858957
0.292286,2.868352
0.29147,2.873721
0.296272,2.881775
0.310337,2.888486
0.326303,2.895868
0.352049,2.906606
0.358833,2.922041
0.333818,2.934793
0.295929,2.946873
0.264393,2.953584
0.253379,2.967006
0.2452,2.977744
0.234323,2.989153
0.224699,2.995193
0.233094,3.007945
0.237197,3.024722
0.220411,3.030763
0.207582,3.043514
0.203881,3.052238
0.205692,3.069016
0.195794,3.078412
0.181757,3.08915
0.178575,3.099216
0.171574,3.111968
0.175421,3.11935
0.186108,3.132101
0.189621,3.140826
0.197706,3.158275
0.189509,3.168341
0.176803,3.178408
0.165331,3.191159
0.165019,3.202568
0.161609,3.213977
0.16582,3.222702
0.171782,3.236795
0.173133,3.242835
0.183428,3.258942
0.177033,3.271022
0.172778,3.277062
0.174488,3.291156
0.176118,3.301894
0.17418,3.316658
0.162659,3.332765
0.148384,3.339476
0.139051,3.352227
0.138663,3.359609
0.149633,3.370347
0.159862,3.37773
0.178868,3.391823
0.187836,3.406588
0.174055,3.415313
0.164207,3.42605
0.162674,3.438801
0.150789,3.450881
0.143147,3.470344
0.124104,3.483766
0.104336,3.496517
0.092473,3.507255
0.082747,3.517322
0.086177,3.5341
0.0834,3.546851
0.07384,3.558932
0.062954,3.571683
0.063139,3.589132
0.052118,3.601883
0.04728,3.615305
0.037935,3.636781
0.029792,3.645505
0.029371,3.666981
0.024564,3.681746
0.019904,3.69651
0.01789,3.708591
0.012279,3.727382
0.00971,3.746173
-0.005401,3.760938
-0.011848,3.777045
-0.017166,3.800533
-0.032892,3.819325
-0.052994,3.839458
-0.070079,3.852209
-0.083569,3.866302
-0.081201,3.883752
-0.083101,3.902543
-0.08494,3.922006
-0.098125,3.935428
-0.111713,3.953548
-0.120105,3.97301
-0.137043,3.985762
-0.145505,3.995828
-0.13324,4.011264
-0.118011,4.02737
-0.111154,4.042135
-0.109514,4.058913
-0.11118,4.071664
-0.109168,4.086429
-0.10838,4.097167
-0.100768,4.109247
-0.091851,4.122669
-0.082714,4.138105
-0.08093,4.152199
-0.082115,4.169647
-0.086307,4.183741
-0.094162,4.193808
-0.090016,4.205217
-0.081637,4.217968
-0.071564,4.235417
-0.075385,4.253537
-0.083422,4.263604
-0.089039,4.277697
-0.089625,4.294476
-0.090265,4.299844
-0.079326,4.303871
-0.057254,4.318635
-0.043123,4.335413
-0.037707,4.352862
-0.046403,4.371654
-0.060318,4.37568
-0.057588,4.385076
-0.046249,4.401183
-0.040526,4.40521
-0.029952,4.416618
-0.019138,4.425343
-0.013063,4.437423
-0.008492,4.44749
-0.003619,4.460241
-0.000847,4.466281
0.002269,4.481717
0.002715,4.499166
0.001304,4.508562
0.001866,4.517957
-0.002123,4.527352
0.001101,4.538762
0.003315,4.545473
0.008473,4.558895
0.010369,4.567619
0.016149,4.582384
0.01732,4.594464
0.01495,4.60386
0.016252,4.61594
0.020118,4.623993
0.022949,4.642785
0.019198,4.654865
0.015109,4.663589
0.016471,4.680367
0.014605,4.691776
0.014504,4.701172
0.014599,4.713923
0.014851,4.728017
0.013633,4.742781
0.009714,4.755532
0.01287,4.770297
0.010837,4.781706
0.009453,4.799826
0.008011,4.811906
0.008209,4.822644
0.007129,4.839422
0.006376,4.853515
0.005705,4.860227
0.004141,4.86828
0.012912,4.879689
0.026188,4.887743
0.037325,4.895795
0.048742,4.909218
0.055782,4.917943
0.070437,4.923983
0.087192,4.93405
0.105891,4.944116
0.124268,4.956196
0.127281,4.968947
0.125125,4.982369
0.114971,4.990423
0.113507,4.996463
0.132537,5.00049
0.173593,5.011899
0.207428,5.017939
0.224041,5.031362
0.228497,5.042099
0.22049,5.052837
0.207342,5.064246
0.195737,5.070957
0.191996,5.081024
0.198597,5.090419
0.207067,5.097802
0.222848,5.103171
0.242612,5.11458
0.258207,5.117935
0.277542,5.127331
0.296606,5.137398
0.306591,5.145451
0.306928,5.149478
0.311548,5.162229
0.315246,5.16894
0.323199,5.172967
0.335019,5.185718
0.334884,5.192429
0.330727,5.206523
0.311266,5.217932
0.281235,5.229341
0.248789,5.236052
0.228269,5.24679
0.228133,5.258199
0.228564,5.267594
0.225594,5.278332
0.219537,5.286386
0.225558,5.293768
0.232966,5.30719
0.234673,5.311217
0.242184,5.323968
0.243828,5.33672
0.234919,5.347457
0.216877,5.357524
0.205835,5.368933
0.198756,5.374302
0.203336,5.38504
0.214549,5.392422
0.226963,5.402489
0.241853,5.408529
0.254421,5.418595
0.26191,5.429333
0.265793,5.441413
0.258111,5.448796
0.254919,5.456178
0.258315,5.462218
0.277972,5.464231
0.316233,5.472956
0.349528,5.488392
0.347561,5.501814
0.31324,5.51725
0.253297,5.525974
0.208791,5.538725
0.182144,5.54745
0.166067,5.562214
0.145617,5.575637
0.130451,5.58369
0.127834,5.591743
0.133223,5.603824
0.14548,5.609864
0.163739,5.620602
0.178114,5.629997
0.188474,5.643419
0.18648,5.653486
0.179093,5.666909
0.164496,5.676975
0.149878,5.684358
0.151336,5.69778
0.15289,5.70986
0.148336,5.719255
0.146583,5.736705
0.139493,5.746772
0.128178,5.761536
0.115889,5.77563
0.103965,5.785696
0.095555,5.795763
0.098354,5.801803
0.114747,5.81187
0.135357,5.821937
0.149795,5.834017
0.16116,5.844084
0.16725,5.85415
0.172188,5.86019
0.191074,5.871599
0.213005,5.878982
0.237084,5.886364
0.266504,5.893075
0.287475,5.904484
0.299651,5.91992
0.284941,5.932
0.255383,5.93804
0.242144,5.948106
0.241772,5.9622
0.239633,5.969582
0.238694,5.98032
0.243739,5.987031
0.249259,6.001124
0.254362,6.007165
0.257256,6.013205
0.276289,6.019245
0.300113,6.027298
0.333887,6.036694
0.354808,6.04005
0.371066,6.053472
0.371735,6.058841
0.369707,6.063539
0.378117,6.065552
0.403463,6.075618
0.427394,6.078303
0.448123,6.095081
0.443248,6.104477
0.409383,6.111188
0.385383,6.115215
0.379742,6.123939
0.385618,6.13065
0.400637,6.135348
0.413597,6.150784
0.404205,6.160179
0.383727,6.163535
0.372353,6.174273
0.376797,6.189709
0.353767,6.198433
0.327405,6.213869
0.29284,6.223936
0.26229,6.238029
0.227769,6.244069
0.215294,6.25078
0.226372,6.2689
0.235177,6.280309
0.218906,6.29306
0.194418,6.299101
0.198696,6.313194
0.199199,6.324603
0.18735,6.331315
0.191809,6.344065
0.197426,6.355474
0.198327,6.365541
0.206921,6.377621
0.20425,6.389701
0.192207,6.40111
0.174021,6.41319
0.164619,6.427284
0.154337,6.43668
0.149389,6.446075
0.158069,6.456813
0.16188,6.471577
0.157919,6.478289
0.161883,6.493725
0.159875,6.501778
0.159677,6.510502
0.16904,6.524596
0.170539,6.528622
0.184633,6.540031
0.189608,6.553454
0.188571,6.568218
0.172858,6.579627
0.160733,6.597747
0.130771,6.605801
0.121389,6.612512
0.133461,6.624592
0.143096,6.636001
0.142908,6.650094
0.132554,6.66553
0.116698,6.675597
0.107695,6.686335
0.108199,6.699086
0.111052,6.710495
0.109205,6.715192
0.122541,6.729958
0.121961,6.744722
0.112765,6.754118
0.106344,6.766198
0.101869,6.780962
0.10247,6.792371
0.09903,6.802438
0.096147,6.817873
0.088858,6.831296
0.085005,6.840692
0.086456,6.850758
0.096215,6.864181
0.099974,6.883643
0.081266,6.903106
0.064893,6.91183
0.052994,6.926594
0.049134,6.937332
0.043233,6.946728
0.049155,6.959479
0.052184,6.972901
0.060342,6.984982
0.064997,6.992364
0.070188,7.005115
0.072247,7.019879
0.072009,7.031288
0.070831,7.039342
0.074531,7.054106
0.077706,7.063502
0.07891,7.075582
0.082195,7.084978
0.084803,7.097057
0.089688,7.109809
0.093584,7.124573
0.088555,7.139338
0.071123,7.160143
0.055594,7.168197
0.047748,7.178934
0.044655,7.193027
0.042979,7.209135
0.035307,7.217859
0.032128,7.227926
0.034071,7.251414
0.028108,7.270205
0.01354,7.283628
0.007155,7.305775
-0.003017,7.325237
-0.014841,7.340673
-0.027264,7.35678
-0.038359,7.370873
-0.042128,7.382954
-0.043438,7.402416
-0.053593,7.420536
-0.063158,7.445367
-0.098351,7.45879
-0.130755,7.478923
-0.155951,7.493688
-0.164344,7.515835
-0.183755,7.533283
-0.203819,7.548719
-0.213757,7.568182
-0.218811,7.582946
-0.225185,7.595697
-0.215809,7.608449
-0.198642,7.622542
-0.177462,7.637978
-0.166405,7.658111
-0.170535,7.670191
-0.170013,7.685627
-0.166391,7.700392
-0.170427,7.711129
-0.161841,7.72925
-0.154189,7.742672
-0.151528,7.756094
-0.148531,7.778241
-0.166474,7.792335
-0.182152,7.801059
-0.177241,7.817166
-0.165199,7.829917
-0.153747,7.848037
-0.153977,7.862131
-0.159784,7.872869
-0.152544,7.881593
-0.133828,7.894344
-0.110183,7.903069
-0.093177,7.91582
-0.082331,7.925887
-0.071399,7.943336
-0.070879,7.950718
-0.063972,7.960785
-0.053593,7.967496
-0.0418,7.976221
-0.031353,7.981589
-0.014338,8.002394
-0.008831,8.012461
-0.004705,8.019173
0.000911,8.027225
0.00841,8.037292
0.014265,8.040648
0.026799,8.052728
0.03756,8.065479
0.040637,8.071519
0.047537,8.078901
0.062002,8.086955
0.078224,8.099034
0.091008,8.107088
0.09963,8.11984
0.101274,8.129907
0.101415,8.131248
0.124076,8.138631
0.157554,8.148697
0.18155,8.158093
0.195374,8.168831
0.196803,8.177555
0.192338,8.180911
0.204161,8.186952
0.233322,8.19836
0.254055,8.205742
0.265716,8.213124
0.270302,8.217822
0.290841,8.22856
0.301167,8.237955
0.298611,8.243997
0.296761,8.25876
0.276748,8.266814
0.257238,8.277552
0.245096,8.283591
0.238678,8.300369
0.219444,8.308423
0.200523,8.31849
0.195309,8.329227
0.191141,8.340636
0.192316,8.344664
0.197877,8.357414
0.212371,8.362783
0.232291,8.374193
0.246222,8.387615
0.244063,8.403722
0.212142,8.413788
0.182725,8.418487
0.170977,8.426539
0.18518,8.43325
0.216916,8.445331
0.244771,8.447345
0.284231,8.456069
0.31482,8.469491
0.312022,8.488282
0.272539,8.494323
0.233823,8.506402
0.208435,8.513114
0.200885,8.519154
0.220005,8.531234
0.245013,8.539288
0.266905,8.538616
0.302092,8.549354
0.341093,8.560092
0.359092,8.561434
0.37248,8.568817
0.395362,8.573514
0.422766,8.578212
0.447579,8.58895
0.452508,8.599017
0.438833,8.602372
0.432255,8.606399
0.442735,8.611096
0.466359,8.621163
0.481076,8.629217
0.479544,8.635928
0.465992,8.639284
0.453763,8.65539
0.436122,8.662772
0.410677,8.668141
0.394429,8.673511
0.39282,8.682906
0.399968,8.694986
0.397752,8.699014
0.398859,8.701026
0.418789,8.701698
0.462627,8.707067
0.505615,8.710423
0.548324,8.719817
0.569049,8.729214
0.55045,8.740623
0.513146,8.749347
0.470477,8.752031
0.439704,8.757401
0.438894,8.76344
0.451137,8.776862
0.444604,8.784916
0.42563,8.796996
0.401648,8.807062
0.371499,8.815116
0.341188,8.822498
0.332203,8.837263
0.318178,8.846659
0.299616,8.853371
0.290703,8.868805
0.280355,8.879543
0.260509,8.887596
0.247621,8.892965
0.247343,8.899677
0.271915,8.906388
0.308749,8.913099
0.336966,8.929207
0.34011,8.941286
0.319887,8.952695
0.289433,8.959407
0.264869,8.970816
0.257047,8.980883
0.248695,8.996317
0.22432,9.010411
0.200096,9.015779
0.190352,9.027861
0.190255,9.0339
0.206115,9.043967
0.220946,9.05135
0.237614,9.0641
0.247489,9.078865
0.237212,9.086919
0.22277,9.096313
0.219719,9.111079
0.206706,9.119132
0.196733,9.133897
0.185836,9.144634
0.178003,9.154031
0.171087,9.161412
0.178121,9.176177
0.185253,9.182888
0.198999,9.191612
0.206272,9.205034
0.20864,9.223825
0.183991,9.231209
0.166917,9.239262
0.161912,9.252685
0.165638,9.268791
0.158006,9.279529
0.141135,9.290937
0.127741,9.307045
0.111082,9.319124
0.102027,9.332546
0.093812,9.343285
0.088039,9.356707
0.082858,9.368116
0.083093,9.38221
0.078033,9.397645
0.07342,9.411067
0.063116,9.427175
0.055597,9.443281
0.04751,9.455361
0.039683,9.468784
0.036327,9.484891
0.031082,9.495628
0.027795,9.505695
0.03293,9.515762
0.041863,9.527843
0.057628,9.534554
0.073811,9.551331
0.076339,9.563412
0.07976,9.576162
0.079876,9.589584
0.075577,9.598981
